组合码,国家,省州,市县,纬度,经度,人口数
"Jackson, Arkansas, US",US,Arkansas,Jackson,35.59802983,-91.21494602,16719
"Jefferson, Arkansas, US",US,Arkansas,Jefferson,34.26767081,-91.92619839,66824
"Johnson, Arkansas, US",US,Arkansas,Johnson,35.56759135,-93.46036368,26578
"Lafayette, Arkansas, US",US,Arkansas,Lafayette,33.24116713,-93.60677071,6624
"Lawrence, Arkansas, US",US,Arkansas,Lawrence,36.04188196,-91.10867198,16406
"Lee, Arkansas, US",US,Arkansas,Lee,34.78498904,-90.78383866,8857
"Lincoln, Arkansas, US",US,Arkansas,Lincoln,33.95317155,-91.74002806,13024
"Little River, Arkansas, US",US,Arkansas,Little River,33.70375665,-94.23468591,12259
"Logan, Arkansas, US",US,Arkansas,Logan,35.21413234,-93.71951016,21466
"Lonoke, Arkansas, US",US,Arkansas,Lonoke,34.75392199,-91.88742357,73309
"Madison, Arkansas, US",US,Arkansas,Madison,36.01038185,-93.72524943,16576
"Marion, Arkansas, US",US,Arkansas,Marion,36.26844485,-92.68451899,16694
"Miller, Arkansas, US",US,Arkansas,Miller,33.31403423,-93.89285258,43257
"Mississippi, Arkansas, US",US,Arkansas,Mississippi,35.76271485,-90.0519437,40651
"Monroe, Arkansas, US",US,Arkansas,Monroe,34.6815935,-91.20540287,6701
"Montgomery, Arkansas, US",US,Arkansas,Montgomery,34.53704874,-93.65824478,8986
"Nevada, Arkansas, US",US,Arkansas,Nevada,33.66340119,-93.30632432,8252
"Newton, Arkansas, US",US,Arkansas,Newton,35.91947491,-93.21612969,7753
"Ouachita, Arkansas, US",US,Arkansas,Ouachita,33.58839816,-92.87795984,23382
"Perry, Arkansas, US",US,Arkansas,Perry,34.9459153,-92.94372564,10455
"Phillips, Arkansas, US",US,Arkansas,Phillips,34.43268455,-90.84800154,17782
"Pike, Arkansas, US",US,Arkansas,Pike,34.16250414,-93.65789349,10718
"Poinsett, Arkansas, US",US,Arkansas,Poinsett,35.57433534,-90.66268713,23528
"Polk, Arkansas, US",US,Arkansas,Polk,34.48254879,-94.22728802,19964
"Pope, Arkansas, US",US,Arkansas,Pope,35.44871474,-93.03212219,64072
"Prairie, Arkansas, US",US,Arkansas,Prairie,34.83624419,-91.55162157,8062
"Pulaski, Arkansas, US",US,Arkansas,Pulaski,34.77054088,-92.31355101,391911
"Randolph, Arkansas, US",US,Arkansas,Randolph,36.3415714,-91.02455531,17958
"St. Francis, Arkansas, US",US,Arkansas,St. Francis,35.02201976,-90.74828138,24994
"Saline, Arkansas, US",US,Arkansas,Saline,34.64916145,-92.67583224,122437
"Scott, Arkansas, US",US,Arkansas,Scott,34.85588887,-94.0632176,10281
"Searcy, Arkansas, US",US,Arkansas,Searcy,35.9109364,-92.69936482,7881
"Sebastian, Arkansas, US",US,Arkansas,Sebastian,35.19605503,-94.27162713,127827
"Sevier, Arkansas, US",US,Arkansas,Sevier,33.99780401,-94.2424869,17007
"Sharp, Arkansas, US",US,Arkansas,Sharp,36.16258158,-91.47819342,17442
"Stone, Arkansas, US",US,Arkansas,Stone,35.86251946,-92.15684085,12506
"Union, Arkansas, US",US,Arkansas,Union,33.16887091,-92.59746952,38682
"Van Buren, Arkansas, US",US,Arkansas,Van Buren,35.58095779,-92.51295036,16545
"Washington, Arkansas, US",US,Arkansas,Washington,35.976844,-94.21800746,239187
"White, Arkansas, US",US,Arkansas,White,35.25688493,-91.74908296,78753
"Woodruff, Arkansas, US",US,Arkansas,Woodruff,35.18902527,-91.2439489,6320
"Yell, Arkansas, US",US,Arkansas,Yell,35.00292371,-93.41171338,21341
"Alameda, California, US",US,California,Alameda,37.64629437,-121.8929271,1671329
"Alpine, California, US",US,California,Alpine,38.59678594,-119.8223594,1129
"Amador, California, US",US,California,Amador,38.44583082,-120.65696,39752
"Butte, California, US",US,California,Butte,39.66727762,-121.6005252,219186
"Calaveras, California, US",US,California,Calaveras,38.20537103,-120.552913,45905
"Colusa, California, US",US,California,Colusa,39.17881957,-122.2331726,21547
"Contra Costa, California, US",US,California,Contra Costa,37.91923498,-121.9289527,1153526
"Del Norte, California, US",US,California,Del Norte,41.74228275,-123.8974063,27812
"El Dorado, California, US",US,California,El Dorado,38.77965956,-120.5233166,192843
"Fresno, California, US",US,California,Fresno,36.75733899,-119.6466953,999101
"Glenn, California, US",US,California,Glenn,39.59875897,-122.3938452,28393
"Humboldt, California, US",US,California,Humboldt,40.69923009,-123.876044,135558
"Imperial, California, US",US,California,Imperial,33.0393082,-115.3669042,181215
"Inyo, California, US",US,California,Inyo,36.51112084,-117.4111978,18039
"Kern, California, US",US,California,Kern,35.34329425,-118.7277796,900202
"Kings, California, US",US,California,Kings,36.07409056,-119.8159973,152940
"Lake, California, US",US,California,Lake,39.10124298,-122.7536244,64386
"Lassen, California, US",US,California,Lassen,40.67311306,-120.5935099,30573
"Los Angeles, California, US",US,California,Los Angeles,34.30828379,-118.2282411,10039107
"Madera, California, US",US,California,Madera,37.21513971,-119.7665589,157327
"Marin, California, US",US,California,Marin,38.07122463,-122.7210631,258826
"Mariposa, California, US",US,California,Mariposa,37.57978556,-119.9073334,17203
"Mendocino, California, US",US,California,Mendocino,39.4381191,-123.3911313,86749
"Merced, California, US",US,California,Merced,37.18922369,-120.7209035,277680
"Modoc, California, US",US,California,Modoc,41.58965602,-120.7244817,8841
"Mono, California, US",US,California,Mono,37.93899289,-118.8872409,14444
"Monterey, California, US",US,California,Monterey,36.21862405,-121.2413397,434061
"Napa, California, US",US,California,Napa,38.50735751,-122.332839,137744
"Nevada, California, US",US,California,Nevada,39.30394768,-120.7627281,99755
"Orange, California, US",US,California,Orange,33.70147516,-117.7645998,3175692
"Placer, California, US",US,California,Placer,39.06167234,-120.7240569,398329
"Plumas, California, US",US,California,Plumas,40.00355989,-120.8395236,18807
"Riverside, California, US",US,California,Riverside,33.74314981,-115.9933578,2470546
"Sacramento, California, US",US,California,Sacramento,38.45106826,-121.3425374,1552058
"San Benito, California, US",US,California,San Benito,36.60308176,-121.069975,62808
"San Bernardino, California, US",US,California,San Bernardino,34.84060306,-116.1774685,2180085
"San Diego, California, US",US,California,San Diego,33.03484597,-116.7365326,3338330
"San Francisco, California, US",US,California,San Francisco,37.75215114,-122.4385672,881549
"San Joaquin, California, US",US,California,San Joaquin,37.93433732,-121.2730061,762148
"San Luis Obispo, California, US",US,California,San Luis Obispo,35.38822029,-120.4039028,283111
"San Mateo, California, US",US,California,San Mateo,37.4228808,-122.3275546,766573
"Santa Barbara, California, US",US,California,Santa Barbara,34.65329488,-120.0188492,446499
"Santa Clara, California, US",US,California,Santa Clara,37.23104908,-121.6970462,1927852
"Santa Cruz, California, US",US,California,Santa Cruz,37.05580291,-122.0066524,273213
"Shasta, California, US",US,California,Shasta,40.76391419,-122.0396884,180080
"Sierra, California, US",US,California,Sierra,39.57713498,-120.5200701,3005
"Siskiyou, California, US",US,California,Siskiyou,41.59198861,-122.5407434,43539
"Solano, California, US",US,California,Solano,38.26827353,-121.9357113,447643
"Sonoma, California, US",US,California,Sonoma,38.52746429,-122.8862506,494336
"Stanislaus, California, US",US,California,Stanislaus,37.55862499,-120.9970722,550660
"Sutter, California, US",US,California,Sutter,39.03417539,-121.6945899,96971
"Tehama, California, US",US,California,Tehama,40.12570935,-122.2370171,65084
"Trinity, California, US",US,California,Trinity,40.6491767,-123.114713,12285
"Tulare, California, US",US,California,Tulare,36.22026558,-118.8020203,466195
"Tuolumne, California, US",US,California,Tuolumne,38.02644018,-119.9525093,54478
"Ventura, California, US",US,California,Ventura,34.44465746,-119.0910613,846006
"Yolo, California, US",US,California,Yolo,38.68278902,-121.9018288,220500
"Yuba, California, US",US,California,Yuba,39.26255932,-121.3535644,78668
"Adams, Colorado, US",US,Colorado,Adams,39.87432092,-104.3362578,517421
"Alamosa, Colorado, US",US,Colorado,Alamosa,37.57250606,-105.7885451,16233
"Arapahoe, Colorado, US",US,Colorado,Arapahoe,39.64977461,-104.3353617,656590
"Archuleta, Colorado, US",US,Colorado,Archuleta,37.19474156,-107.0476867,14029
"Baca, Colorado, US",US,Colorado,Baca,37.31940883,-102.5603223,3581
"Bent, Colorado, US",US,Colorado,Bent,37.95474293,-103.0720195,5577
"Boulder, Colorado, US",US,Colorado,Boulder,40.09313619,-105.3546767,326196
"Broomfield, Colorado, US",US,Colorado,Broomfield,39.95998787,-105.0566324,70465
"Chaffee, Colorado, US",US,Colorado,Chaffee,38.74745778,-106.1926573,20356
"Cheyenne, Colorado, US",US,Colorado,Cheyenne,38.82777431,-102.6032558,1831
"Clear Creek, Colorado, US",US,Colorado,Clear Creek,39.68864463,-105.6463118,9700
"Conejos, Colorado, US",US,Colorado,Conejos,37.201606,-106.1917488,8205
"Costilla, Colorado, US",US,Colorado,Costilla,37.27732493,-105.4276548,3887
"Crowley, Colorado, US",US,Colorado,Crowley,38.32608609,-103.7844965,6061
"Custer, Colorado, US",US,Colorado,Custer,38.10883162,-105.3683478,5068
"Delta, Colorado, US",US,Colorado,Delta,38.86246243,-107.8631342,31162
"Denver, Colorado, US",US,Colorado,Denver,39.76018276,-104.8725695,727211
"Dolores, Colorado, US",US,Colorado,Dolores,37.75208676,-108.5211585,2055
"Douglas, Colorado, US",US,Colorado,Douglas,39.33133796,-104.930001,351154
"Eagle, Colorado, US",US,Colorado,Eagle,39.62754308,-106.6933637,55127
"Elbert, Colorado, US",US,Colorado,Elbert,39.28656773,-104.1358721,26729
"El Paso, Colorado, US",US,Colorado,El Paso,38.83240149,-104.5251411,720403
"Fremont, Colorado, US",US,Colorado,Fremont,38.47362326,-105.4399667,47839
"Garfield, Colorado, US",US,Colorado,Garfield,39.59921777,-107.902708,60061
"Gilpin, Colorado, US",US,Colorado,Gilpin,39.85646523,-105.5252597,6243
"Grand, Colorado, US",US,Colorado,Grand,40.10603347,-106.1178042,15734
"Gunnison, Colorado, US",US,Colorado,Gunnison,38.66611652,-107.0320729,17462
"Hinsdale, Colorado, US",US,Colorado,Hinsdale,37.82247444,-107.3004345,820
"Huerfano, Colorado, US",US,Colorado,Huerfano,37.68473101,-104.9612585,6897
"Jackson, Colorado, US",US,Colorado,Jackson,40.6659387,-106.3408905,1392
"Jefferson, Colorado, US",US,Colorado,Jefferson,39.58635604,-105.2517692,582881
"Kiowa, Colorado, US",US,Colorado,Kiowa,38.43260896,-102.7392145,1406
"Kit Carson, Colorado, US",US,Colorado,Kit Carson,39.30497777,-102.6022199,7097
"Lake, Colorado, US",US,Colorado,Lake,39.20278823,-106.3555697,8127
"La Plata, Colorado, US",US,Colorado,La Plata,37.28632032,-107.8429014,56221
"Larimer, Colorado, US",US,Colorado,Larimer,40.66671597,-105.4625784,356899
"Las Animas, Colorado, US",US,Colorado,Las Animas,37.3153406,-104.0376458,14506
"Lincoln, Colorado, US",US,Colorado,Lincoln,38.98749519,-103.5136649,5701
"Logan, Colorado, US",US,Colorado,Logan,40.7249637,-103.110817,22409
"Mesa, Colorado, US",US,Colorado,Mesa,39.01787888,-108.469799,154210
"Mineral, Colorado, US",US,Colorado,Mineral,37.66954283,-106.9281698,769
"Moffat, Colorado, US",US,Colorado,Moffat,40.61810999,-108.2070876,13283
"Montezuma, Colorado, US",US,Colorado,Montezuma,37.33859579,-108.5958857,26183
"Montrose, Colorado, US",US,Colorado,Montrose,38.40214114,-108.2639022,42758
"Morgan, Colorado, US",US,Colorado,Morgan,40.2627981,-103.8093302,29068
"Otero, Colorado, US",US,Colorado,Otero,37.9014485,-103.7173385,18278
"Ouray, Colorado, US",US,Colorado,Ouray,38.14717457,-107.7675136,4952
"Park, Colorado, US",US,Colorado,Park,39.120926,-105.7182065,18845
"Phillips, Colorado, US",US,Colorado,Phillips,40.59414277,-102.3577703,4265
"Pitkin, Colorado, US",US,Colorado,Pitkin,39.21720112,-106.9310027,17767
"Prowers, Colorado, US",US,Colorado,Prowers,37.95544985,-102.3926052,12172
"Pueblo, Colorado, US",US,Colorado,Pueblo,38.17359144,-104.5127437,168424
"Rio Blanco, Colorado, US",US,Colorado,Rio Blanco,39.97913541,-108.2179009,6324
"Rio Grande, Colorado, US",US,Colorado,Rio Grande,37.5836865,-106.3847838,11267
"Routt, Colorado, US",US,Colorado,Routt,40.48596505,-106.9905548,25638
"Saguache, Colorado, US",US,Colorado,Saguache,38.08054629,-106.282466,6824
"San Juan, Colorado, US",US,Colorado,San Juan,37.76248981,-107.6763289,728
"San Miguel, Colorado, US",US,Colorado,San Miguel,38.00450883,-108.4020725,8179
"Sedgwick, Colorado, US",US,Colorado,Sedgwick,40.87595412,-102.3519227,2248
"Summit, Colorado, US",US,Colorado,Summit,39.63803232,-106.1150762,31011
"Teller, Colorado, US",US,Colorado,Teller,38.88133511,-105.1614893,25388
"Washington, Colorado, US",US,Colorado,Washington,39.97015535,-103.202587,4908
"Weld, Colorado, US",US,Colorado,Weld,40.55499405,-104.3929621,324492
"Yuma, Colorado, US",US,Colorado,Yuma,40.00346839,-102.4258673,10019
"Fairfield, Connecticut, US",US,Connecticut,Fairfield,41.26809896,-73.3881171,943332
"Hartford, Connecticut, US",US,Connecticut,Hartford,41.80283011,-72.73103891,891720
"Litchfield, Connecticut, US",US,Connecticut,Litchfield,41.7937534,-73.2451475,180333
"Middlesex, Connecticut, US",US,Connecticut,Middlesex,41.45949668,-72.53714864,162436
"New Haven, Connecticut, US",US,Connecticut,New Haven,41.4080325,-72.93620426,854757
"New London, Connecticut, US",US,Connecticut,New London,41.48896435,-72.10430976,265206
"Tolland, Connecticut, US",US,Connecticut,Tolland,41.85853803,-72.3308481,150721
"Windham, Connecticut, US",US,Connecticut,Windham,41.82972709,-71.98182316,116782
"Kent, Delaware, US",US,Delaware,Kent,39.08646628,-75.56884914,180786
"New Castle, Delaware, US",US,Delaware,New Castle,39.57992638,-75.64054974,558753
"Sussex, Delaware, US",US,Delaware,Sussex,38.66143781,-75.39031349,234225
"District of Columbia, District of Columbia ,US",US,District of Columbia,District of Columbia,38.90417773,-77.01655992,705749
"Alachua, Florida, US",US,Florida,Alachua,29.67866525,-82.35928158,269043
"Baker, Florida, US",US,Florida,Baker,30.33060121,-82.28467476,29210
"Bay, Florida, US",US,Florida,Bay,30.26548745,-85.62122584,174705
"Bradford, Florida, US",US,Florida,Bradford,29.95079741,-82.16611613,28201
"Brevard, Florida, US",US,Florida,Brevard,28.29409504,-80.73091022,601942
"Broward, Florida, US",US,Florida,Broward,26.15184651,-80.48725556,1952778
"Calhoun, Florida, US",US,Florida,Calhoun,30.40666734,-85.19394153,14105
"Charlotte, Florida, US",US,Florida,Charlotte,26.90131002,-81.92949121,188910
"Citrus, Florida, US",US,Florida,Citrus,28.84804315,-82.47614748,149657
"Clay, Florida, US",US,Florida,Clay,29.98319144,-81.85609986,219252
"Collier, Florida, US",US,Florida,Collier,26.11091986,-81.34687065,384902
"Columbia, Florida, US",US,Florida,Columbia,30.22509788,-82.62160164,71686
"DeSoto, Florida, US",US,Florida,DeSoto,27.18677893,-81.80941373,38001
"Dixie, Florida, US",US,Florida,Dixie,29.60631086,-83.15724673,16826
"Duval, Florida, US",US,Florida,Duval,30.33225875,-81.66976468,957755
"Escambia, Florida, US",US,Florida,Escambia,30.67652764,-87.37284571,318316
"Flagler, Florida, US",US,Florida,Flagler,29.45933576,-81.31508595,115081
"Franklin, Florida, US",US,Florida,Franklin,29.83791238,-84.82731662,12125
"Gadsden, Florida, US",US,Florida,Gadsden,30.57796289,-84.61915825,45660
"Gilchrist, Florida, US",US,Florida,Gilchrist,29.72856978,-82.79880657,18582
"Glades, Florida, US",US,Florida,Glades,26.95635849,-81.18996211,13811
"Gulf, Florida, US",US,Florida,Gulf,29.93543004,-85.2427099,13639
"Hamilton, Florida, US",US,Florida,Hamilton,30.49673973,-82.94998918,14428
"Hardee, Florida, US",US,Florida,Hardee,27.49293939,-81.80956574,26937
"Hendry, Florida, US",US,Florida,Hendry,26.55386945,-81.16469006,42022
"Hernando, Florida, US",US,Florida,Hernando,28.55364461,-82.42700204,193920
"Highlands, Florida, US",US,Florida,Highlands,27.34254618,-81.34071957,106221
"Hillsborough, Florida, US",US,Florida,Hillsborough,27.9276559,-82.32013172,1471968
"Holmes, Florida, US",US,Florida,Holmes,30.86747479,-85.81319222,19617
"Indian River, Florida, US",US,Florida,Indian River,27.69308961,-80.60556721,159923
"Jackson, Florida, US",US,Florida,Jackson,30.7954597,-85.21500423,46414
"Jefferson, Florida, US",US,Florida,Jefferson,30.43669112,-83.89442308,14246
"Lafayette, Florida, US",US,Florida,Lafayette,29.98484137,-83.18166636,8422
"Lake, Florida, US",US,Florida,Lake,28.76202069,-81.7125123,367118
"Lee, Florida, US",US,Florida,Lee,26.58410348,-81.88399313,770577
"Leon, Florida, US",US,Florida,Leon,30.45955727,-84.27491114,293582
"Levy, Florida, US",US,Florida,Levy,29.31829741,-82.74007147,41503
"Liberty, Florida, US",US,Florida,Liberty,30.23766008,-84.8829258,8354
"Madison, Florida, US",US,Florida,Madison,30.44396917,-83.47398594,18493
"Manatee, Florida, US",US,Florida,Manatee,27.47196942,-82.31831044,403253
"Marion, Florida, US",US,Florida,Marion,29.21227113,-82.05803627,365579
"Martin, Florida, US",US,Florida,Martin,27.0772071,-80.43109784,161000
"Miami-Dade, Florida, US",US,Florida,Miami-Dade,25.6112362,-80.55170587,2716940
"Monroe, Florida, US",US,Florida,Monroe,25.20904673,-81.07812416,74228
"Nassau, Florida, US",US,Florida,Nassau,30.61037141,-81.80297522,88625
"Okaloosa, Florida, US",US,Florida,Okaloosa,30.69143028,-86.59267105,210738
"Okeechobee, Florida, US",US,Florida,Okeechobee,27.3863362,-80.88944347,42168
"Orange, Florida, US",US,Florida,Orange,28.51367621,-81.31799498,1393452
"Osceola, Florida, US",US,Florida,Osceola,28.06312234,-81.14882926,375751
"Palm Beach, Florida, US",US,Florida,Palm Beach,26.64676272,-80.46536002,1496770
"Pasco, Florida, US",US,Florida,Pasco,28.30810945,-82.40227529,553947
"Pinellas, Florida, US",US,Florida,Pinellas,27.93130349,-82.72239666,974996
"Polk, Florida, US",US,Florida,Polk,27.95027105,-81.69732947,724777
"Putnam, Florida, US",US,Florida,Putnam,29.60779729,-81.74230285,74521
"St. Johns, Florida, US",US,Florida,St. Johns,29.90096506,-81.43589967,264672
"St. Lucie, Florida, US",US,Florida,St. Lucie,27.37763908,-80.47106649,328297
"Santa Rosa, Florida, US",US,Florida,Santa Rosa,30.6934145,-87.02458128,184313
"Sarasota, Florida, US",US,Florida,Sarasota,27.18546175,-82.33174248,433742
"Seminole, Florida, US",US,Florida,Seminole,28.7158582,-81.24060348,471826
"Sumter, Florida, US",US,Florida,Sumter,28.70181754,-82.0794267,132420
"Suwannee, Florida, US",US,Florida,Suwannee,30.19746066,-82.9909967,44417
"Taylor, Florida, US",US,Florida,Taylor,30.04848048,-83.60445406,21569
"Union, Florida, US",US,Florida,Union,30.04412971,-82.37497443,15237
"Volusia, Florida, US",US,Florida,Volusia,29.05858895,-81.18263252,553284
"Wakulla, Florida, US",US,Florida,Wakulla,30.16548905,-84.39895211,33739
"Walton, Florida, US",US,Florida,Walton,30.64204028,-86.16935664,74071
"Washington, Florida, US",US,Florida,Washington,30.61359259,-85.66002461,25473
"Appling, Georgia, US",US,Georgia,Appling,31.74847232,-82.28909114,18386
"Atkinson, Georgia, US",US,Georgia,Atkinson,31.29633502,-82.87545866,8165
"Bacon, Georgia, US",US,Georgia,Bacon,31.55456473,-82.45936528,11164
"Baker, Georgia, US",US,Georgia,Baker,31.32669878,-84.44218806,3038
"Baldwin, Georgia, US",US,Georgia,Baldwin,33.06882326,-83.24701748,44890
"Banks, Georgia, US",US,Georgia,Banks,34.35607081,-83.49644388,19234
"Barrow, Georgia, US",US,Georgia,Barrow,33.99148694,-83.71436292,83240
"Bartow, Georgia, US",US,Georgia,Bartow,34.23732119,-84.83887523,107738
"Ben Hill, Georgia, US",US,Georgia,Ben Hill,31.76095874,-83.22145359,16700
"Berrien, Georgia, US",US,Georgia,Berrien,31.27590016,-83.2252992,19397
"Bibb, Georgia, US",US,Georgia,Bibb,32.80904227,-83.70489165,153159
"Bleckley, Georgia, US",US,Georgia,Bleckley,32.43829035,-83.33035166,12873
"Brantley, Georgia, US",US,Georgia,Brantley,31.19576557,-81.97743999,19109
"Brooks, Georgia, US",US,Georgia,Brooks,30.83922642,-83.58303423,15457
"Bryan, Georgia, US",US,Georgia,Bryan,32.00979311,-81.44002948,39627
"Bulloch, Georgia, US",US,Georgia,Bulloch,32.39577406,-81.74811421,79608
"Burke, Georgia, US",US,Georgia,Burke,33.05917989,-81.99928721,22383
"Butts, Georgia, US",US,Georgia,Butts,33.2830945,-83.9543504,24936
"Calhoun, Georgia, US",US,Georgia,Calhoun,31.53169785,-84.62725131,6189
"Camden, Georgia, US",US,Georgia,Camden,30.92951916,-81.66601818,54666
"Candler, Georgia, US",US,Georgia,Candler,32.40209349,-82.07702563,10803
"Carroll, Georgia, US",US,Georgia,Carroll,33.58138199,-85.07976677,119992
"Catoosa, Georgia, US",US,Georgia,Catoosa,34.89872298,-85.13757014,67580
"Charlton, Georgia, US",US,Georgia,Charlton,30.78371028,-82.13951596,13392
"Chatham, Georgia, US",US,Georgia,Chatham,32.00043026,-81.12489526,289430
"Chattahoochee, Georgia, US",US,Georgia,Chattahoochee,32.34341231,-84.78809239,10907
"Chattooga, Georgia, US",US,Georgia,Chattooga,34.47197698,-85.34535662,24789
"Cherokee, Georgia, US",US,Georgia,Cherokee,34.24393976,-84.47431861,258773
"Clarke, Georgia, US",US,Georgia,Clarke,33.95436462,-83.37124007,128331
"Clay, Georgia, US",US,Georgia,Clay,31.62221166,-84.97713865,2834
"Clayton, Georgia, US",US,Georgia,Clayton,33.54187245,-84.35594188,292256
"Clinch, Georgia, US",US,Georgia,Clinch,30.91395822,-82.70432472,6618
"Cobb, Georgia, US",US,Georgia,Cobb,33.94243204,-84.5761255,760141
"Coffee, Georgia, US",US,Georgia,Coffee,31.54892966,-82.8549206,43273
"Colquitt, Georgia, US",US,Georgia,Colquitt,31.18810588,-83.7677946,45600
"Columbia, Georgia, US",US,Georgia,Columbia,33.54534185,-82.263524,156714
"Cook, Georgia, US",US,Georgia,Cook,31.16068491,-83.42947229,17270
"Coweta, Georgia, US",US,Georgia,Coweta,33.35334302,-84.76129976,148509
"Crawford, Georgia, US",US,Georgia,Crawford,32.71391813,-83.98061238,12404
"Crisp, Georgia, US",US,Georgia,Crisp,31.92289565,-83.76811843,22372
"Dade, Georgia, US",US,Georgia,Dade,34.8549167,-85.50490424,16116
"Dawson, Georgia, US",US,Georgia,Dawson,34.44244079,-84.16964071,26108
"Decatur, Georgia, US",US,Georgia,Decatur,30.87967778,-84.57619536,26404
"DeKalb, Georgia, US",US,Georgia,DeKalb,33.76944049,-84.22396017,759297
"Dodge, Georgia, US",US,Georgia,Dodge,32.17265114,-83.16948926,20605
"Dooly, Georgia, US",US,Georgia,Dooly,32.15630737,-83.79746561,13390
"Dougherty, Georgia, US",US,Georgia,Dougherty,31.53328528,-84.21722377,87956
"Douglas, Georgia, US",US,Georgia,Douglas,33.70291126,-84.77026156,146343
"Early, Georgia, US",US,Georgia,Early,31.32155345,-84.90255207,10190
"Echols, Georgia, US",US,Georgia,Echols,30.71101099,-82.89687287,4006
"Effingham, Georgia, US",US,Georgia,Effingham,32.36616021,-81.34280942,64296
"Elbert, Georgia, US",US,Georgia,Elbert,34.11302332,-82.83936148,19194
"Emanuel, Georgia, US",US,Georgia,Emanuel,32.59221302,-82.30239915,22646
"Evans, Georgia, US",US,Georgia,Evans,32.15328841,-81.8870105,10654
"Fannin, Georgia, US",US,Georgia,Fannin,34.86430205,-84.316964,26188
"Fayette, Georgia, US",US,Georgia,Fayette,33.41357794,-84.49089434,114421
"Floyd, Georgia, US",US,Georgia,Floyd,34.26268279,-85.21577392,98498
"Forsyth, Georgia, US",US,Georgia,Forsyth,34.22604035,-84.1231513,244252
"Franklin, Georgia, US",US,Georgia,Franklin,34.37525597,-83.23159927,23349
"Fulton, Georgia, US",US,Georgia,Fulton,33.79216944,-84.46319413,1063937
"Gilmer, Georgia, US",US,Georgia,Gilmer,34.69316688,-84.45802506,31369
"Glascock, Georgia, US",US,Georgia,Glascock,33.22879932,-82.61297636,2971
"Glynn, Georgia, US",US,Georgia,Glynn,31.23279254,-81.53811412,85292
"Gordon, Georgia, US",US,Georgia,Gordon,34.50487351,-84.87296253,57963
"Grady, Georgia, US",US,Georgia,Grady,30.87454847,-84.23418364,24633
"Greene, Georgia, US",US,Georgia,Greene,33.5769205,-83.17139104,18324
"Gwinnett, Georgia, US",US,Georgia,Gwinnett,33.96044201,-84.02137802,936250
"Habersham, Georgia, US",US,Georgia,Habersham,34.63331566,-83.53094677,45328
"Hall, Georgia, US",US,Georgia,Hall,34.32207823,-83.81896936,204441
"Hancock, Georgia, US",US,Georgia,Hancock,33.2721566,-82.99766919,8457
"Haralson, Georgia, US",US,Georgia,Haralson,33.79602175,-85.21005667,29792
"Harris, Georgia, US",US,Georgia,Harris,32.73709786,-84.90538572,35236
"Hart, Georgia, US",US,Georgia,Hart,34.34626973,-82.96567682,26205
"Heard, Georgia, US",US,Georgia,Heard,33.29686567,-85.12886832,11923
"Henry, Georgia, US",US,Georgia,Henry,33.4533428,-84.1481466,234561
"Houston, Georgia, US",US,Georgia,Houston,32.45802497,-83.66879087,157863
"Irwin, Georgia, US",US,Georgia,Irwin,31.60213036,-83.27501387,9416
"Jackson, Georgia, US",US,Georgia,Jackson,34.13794553,-83.56814788,72977
"Jasper, Georgia, US",US,Georgia,Jasper,33.31535543,-83.68844964,14219
"Jeff Davis, Georgia, US",US,Georgia,Jeff Davis,31.80405727,-82.6372487,15115
"Jefferson, Georgia, US",US,Georgia,Jefferson,33.05867328,-82.41609057,15362
"Jenkins, Georgia, US",US,Georgia,Jenkins,32.79248718,-81.96040187,8676
"Johnson, Georgia, US",US,Georgia,Johnson,32.70211082,-82.66166794,9643
"Jones, Georgia, US",US,Georgia,Jones,33.02512137,-83.56019163,28735
"Lamar, Georgia, US",US,Georgia,Lamar,33.07841647,-84.14263877,19077
"Lanier, Georgia, US",US,Georgia,Lanier,31.0382857,-83.06472457,10423
"Laurens, Georgia, US",US,Georgia,Laurens,32.46325233,-82.92221316,47546
"Lee, Georgia, US",US,Georgia,Lee,31.7793306,-84.14324253,29992
"Liberty, Georgia, US",US,Georgia,Liberty,31.82588896,-81.49251135,61435
"Lincoln, Georgia, US",US,Georgia,Lincoln,33.79201475,-82.45024131,7921
"Long, Georgia, US",US,Georgia,Long,31.75218791,-81.74952375,19559
"Lowndes, Georgia, US",US,Georgia,Lowndes,30.83568832,-83.27056716,117406
"Lumpkin, Georgia, US",US,Georgia,Lumpkin,34.57286511,-84.00425681,33610
"McDuffie, Georgia, US",US,Georgia,McDuffie,33.47851918,-82.48252774,21312
"McIntosh, Georgia, US",US,Georgia,McIntosh,31.49683595,-81.40163426,14378
"Macon, Georgia, US",US,Georgia,Macon,32.35207048,-84.04234127,12947
"Madison, Georgia, US",US,Georgia,Madison,34.12920917,-83.21218732,29880
"Marion, Georgia, US",US,Georgia,Marion,32.3483402,-84.52733571,8359
"Meriwether, Georgia, US",US,Georgia,Meriwether,33.04163534,-84.68859732,21167
"Miller, Georgia, US",US,Georgia,Miller,31.16568912,-84.73151117,5718
"Mitchell, Georgia, US",US,Georgia,Mitchell,31.22483255,-84.19381821,21863
"Monroe, Georgia, US",US,Georgia,Monroe,33.014289,-83.92097166,27578
"Montgomery, Georgia, US",US,Georgia,Montgomery,32.17201038,-82.53527476,9172
"Morgan, Georgia, US",US,Georgia,Morgan,33.59232073,-83.49129491,19276
